timestamp,redemption_tickets,sales_tickets
2015-01-01,49,45
2015-01-02,41,40
2015-01-03,56,40
2015-01-04,50,54
2015-01-05,48,44
2015-01-06,51,43
2015-01-07,42,42
2015-01-08,49,45
2015-01-09,48,45
2015-01-10,56,43
2015-01-11,41,58
2015-01-12,46,59
2015-01-13,51,58
2015-01-14,52,63
2015-01-15,49,52
2015-01-16,46,41
2015-01-17,48,51
2015-01-18,47,41
2015-01-19,54,52
2015-01-20,45,36
2015-01-21,57,51
2015-01-22,41,50
2015-01-23,61,50
2015-01-24,42,47
2015-01-25,30,55
2015-01-26,43,42
2015-01-27,49,46
2015-01-28,42,37
2015-01-29,47,44
2015-01-30,43,45
2015-01-31,53,42
2015-02-01,56,41
2015-02-02,52,50
2015-02-03,56,57
2015-02-04,39,42
2015-02-05,52,45
2015-02-06,39,47
2015-02-07,54,59
2015-02-08,49,53
2015-02-09,50,48
2015-02-10,41,49
2015-02-11,46,43
2015-02-12,46,49
2015-02-13,52,47
2015-02-14,58,54
2015-02-15,51,48
2015-02-16,51,66
2015-02-17,41,49
2015-02-18,41,48
2015-02-19,45,56
2015-02-20,51,66
2015-02-21,37,43
2015-02-22,51,55
2015-02-23,45,60
2015-02-24,52,51
2015-02-25,55,46
2015-02-26,53,48
2015-02-27,59,54
2015-02-28,49,48
2015-03-01,44,45
2015-03-02,55,57
2015-03-03,45,48
2015-03-04,37,43
2015-03-05,53,46
2015-03-06,51,61
2015-03-07,60,52
2015-03-08,58,59
2015-03-09,40,64
2015-03-10,49,50
2015-03-11,52,60
2015-03-12,65,40
2015-03-13,50,42
2015-03-14,59,48
2015-03-15,37,51
2015-03-16,49,56
2015-03-17,42,51
2015-03-18,44,48
2015-03-19,50,44
2015-03-20,41,62
2015-03-21,47,51
2015-03-22,42,51
2015-03-23,56,43
2015-03-24,36,40
2015-03-25,41,62
2015-03-26,64,58
2015-03-27,44,70
2015-03-28,61,37
2015-03-29,55,45
2015-03-30,55,41
2015-03-31,42,45
2015-04-01,46,53
2015-04-02,45,49
2015-04-03,48,40
2015-04-04,42,40
2015-04-05,42,51
2015-04-06,44,53
2015-04-07,47,45
2015-04-08,59,52
2015-04-09,50,49
2015-04-10,42,59
2015-04-11,50,57
2015-04-12,30,51
